Id,,Name,,Date,,Time,,temp
0000,,unknown,,28-10-2020,,09:12:12,,39.39
0000,,unknown,,28-10-2020,,09:25:06,,38.85
0000,,unknown,,28-10-2020,,09:26:45,,39.53
0000,,unknown,,28-10-2020,,09:28:04,,38.13
,,,,28-10-2020,,09:34:51,,39.89
,,,,28-10-2020,,09:37:03,,39.95
0000,,unknown,,28-10-2020,,09:38:44,,40.29
,,,,28-10-2020,,13:03:27,,40.17
0000,,unknown,,28-10-2020,,13:06:42,,
0000,,unknown,,28-10-2020,,13:06:48,,38.79
,,,,28-10-2020,,13:07:22,,
0000,,unknown,,28-10-2020,,13:07:30,,
,,,,28-10-2020,,13:07:35,,39.93
,,,,28-10-2020,,13:08:04,,39.71
,,,,28-10-2020,,13:08:09,,40.91
,,,,28-10-2020,,13:08:15,,43.23
,,,,28-10-2020,,13:08:21,,34.51
0000,,unknown,,28-10-2020,,13:08:25,,33.79
,,,,28-10-2020,,13:10:14,,32.41
,,,,28-10-2020,,13:10:19,,32.83
0000,,unknown,,28-10-2020,,13:10:26,,33.63
,,,,28-10-2020,,13:10:28,,28.13
0000,,unknown,,28-10-2020,,13:15:18,,
0000,,unknown,,28-10-2020,,13:15:24,,32.85
0000,,unknown,,28-10-2020,,13:15:28,,33.33
0000,,unknown,,28-10-2020,,13:29:10,,32.71
